created_at,entry_id,field1,latitude,longitude,elevation,status
2024-02-28T01:43:36+00:00,1,6.48808,,,,
2024-02-28T01:43:51+00:00,2,0.00000,,,,
2024-02-28T01:44:06+00:00,3,0.00000,,,,
2024-02-28T01:44:21+00:00,4,0.00000,,,,
2024-02-28T01:44:37+00:00,5,0.00000,,,,
2024-02-28T01:44:52+00:00,6,0.00000,,,,
2024-02-28T01:45:08+00:00,7,0.00000,,,,
2024-02-28T01:45:23+00:00,8,0.00000,,,,
2024-02-28T01:45:38+00:00,9,0.00000,,,,
2024-02-28T01:45:54+00:00,10,0.00000,,,,
2024-02-28T01:46:45+00:00,11,13.30056,,,,
2024-02-28T01:47:01+00:00,12,12.16515,,,,
2024-02-28T01:47:30+00:00,13,11.84075,,,,
2024-02-28T01:47:45+00:00,14,10.05652,,,,
2024-02-28T01:48:00+00:00,15,15.57139,,,,
2024-02-28T01:48:15+00:00,16,13.54387,,,,
2024-02-28T01:48:30+00:00,17,16.86901,,,,
2024-02-28T01:48:46+00:00,18,12.97616,,,,
2024-02-28T01:49:01+00:00,19,15.08479,,,,
2024-02-28T01:49:17+00:00,20,12.32735,,,,
2024-02-28T01:49:32+00:00,21,11.84075,,,,
2024-02-28T01:49:48+00:00,22,12.00295,,,,
2024-02-28T01:50:03+00:00,23,11.92185,,,,
2024-02-28T01:50:18+00:00,24,9.08331,,,,
2024-02-28T01:50:33+00:00,25,11.67854,,,,
2024-02-28T01:50:49+00:00,26,10.29983,,,,
2024-02-28T01:51:04+00:00,27,11.67854,,,,
2024-02-28T01:51:19+00:00,28,11.75965,,,,
2024-02-28T01:51:35+00:00,29,11.67854,,,,
2024-02-28T01:51:50+00:00,30,11.51634,,,,
2024-02-28T01:52:05+00:00,31,11.35414,,,,
2024-02-28T01:52:21+00:00,32,11.51634,,,,
2024-02-28T01:52:36+00:00,33,11.27304,,,,
2024-02-28T01:53:12+00:00,34,11.27304,,,,
2024-02-28T01:53:28+00:00,35,11.59744,,,,
2024-02-28T01:53:45+00:00,36,11.43524,,,,
2024-02-28T01:54:02+00:00,37,11.43524,,,,
2024-02-28T01:54:19+00:00,38,11.67854,,,,
2024-02-28T01:54:36+00:00,39,11.67854,,,,
2024-02-28T01:54:53+00:00,40,11.59744,,,,
2024-02-28T01:55:10+00:00,41,11.27304,,,,
2024-02-28T01:55:27+00:00,42,11.27304,,,,
2024-02-28T01:55:43+00:00,43,11.19194,,,,
2024-02-28T01:56:00+00:00,44,11.59744,,,,
2024-02-28T01:56:17+00:00,45,11.11084,,,,
2024-02-28T01:56:34+00:00,46,11.27304,,,,
